Date,Price,Vol.,weekday,mom,mom1,mom2,mom3,ROC_5,ROC_10,ROC_15,ROC_20,EMA_10,EMA_20,EMA_50,EMA_200,DGS10,WTI-oil,FTSE-F,HSI-F,Gold-F,NZD,FCHI,DGS5,Brent,DBAA,NYSE,CTB6M,CTB1Y,XAU,S&P-F,AUD,AMZN,RUSSELL-F,CNY,DTB3,MSFT,Name,DTB4WK,silver-F,CAD,DAX-F,DTB6,DAAA,DJI-F,XAG,HSI,XOM,EUR,WFC,Dollar Index-F,DJI,GE,CTB3M,copper-F,RUT,Dollar Index,JPM,GAS-F,JPY,wheat-F,GBP,GSPC,SSEC,Nikkei-F,CHF,oil,KOSPI-F,AAPL,GDAXI,CAC-F,NASDAQ-F,JNJ,FTSE,TE1,TE2,TE3,TE5,TE6,DE1,DE2,DE4,DE5,DE6
2010-01-04,2308.42,-0.147090081,0,-0.000125611,0.003311474,0.000452164,-0.007388323,-0.172547256,-0.516290295,4.750581968,5.404418144,2296.664696,2275.729867,2274.637665,2345.03594,4.71,-0.011634539,0.0048,-0.0071,-0.0037,-0.0072,0.0027,4.72,-0.0136,6.54,0.0105,5.58,5.42,-0.0063,0.01,-0.0081,0.0213,0.0129,0.0008,5.34,0.015,IXIC,5.31,-0.0057,-0.0035,0.0027,5.34,5.52,0.0091,-0.0044,-0.0097,0.0007,-0.0046,0.0168,-0.0038,0.0093,-0.0022,5.61,0.0031,0.0159,-0.0038,-0.001,-0.0392,-0.0003,-0.0043,-0.0058,0.0106,-0.0046,-0.0171,-0.0023,-0.0117,-0.0092,-0.0007,0.0034,0.0026,0.0112,0.0043,0.0041,-0.6,-0.63,-0.63,0.03,0.03,1.02,1.83,1.2,1.2,1.23
2010-01-05,2308.71,0.034933924,1,0.003311474,0.000452164,-0.007388323,0.002058458,1.156722794,0.76202946,3.929936392,5.376761254,2294.052406,2272.288801,2273.258794,2345.40394,4.63,0.057922047,-0.0066,-0.0258,0.0311,0.0073,-0.0142,4.65,0.0569,6.45,-0.0004,5.57,5.41,0.0337,-0.0053,0.0035,-0.0192,-0.0117,0.0004,5.35,-0.0104,IXIC,5.33,0.0426,-0.0023,-0.0161,5.34,5.43,0.0009,0.0394,-0.0233,0.0319,0.0016,0.0307,0.0006,0.0012,-0.0175,5.62,-0.0056,-0.0084,0.0005,0.015,-0.0323,-0.0017,0.0144,0.0024,-0.005,-0.0064,-0.011,-0.0068,0.0577,-0.0079,-0.0103,-0.0155,-0.0143,-0.0127,0.0033,-0.0059,-0.7,-0.72,-0.71,0.02,0.01,1.02,1.82,1.11,1.1,1.12
2010-01-06,2301.09,-0.02307791,2,0.000452164,-0.007388323,0.002058458,0.013188392,-0.295073443,1.561989672,5.603028912,8.264680559,2290.795163,2268.45499,2271.811806,2345.772723,4.7,-0.009916368,0.003,0.0197,-0.0023,0.0158,-0.0037,4.69,0.0021,6.53,-0.0102,5.58,5.43,-0.0026,-0.0066,0.0157,0.0038,-0.026,0.0004,5.35,-0.0038,IXIC,5.34,-0.0079,0.0071,-0.0021,5.35,5.52,-0.0058,-0.01,0.0193,-0.0002,0.0087,0.0013,0.0076,-0.0051,-0.017,5.63,-0.0058,-0.022,0.0074,-0.0023,-0.0098,0.0044,0.0279,0.0113,-0.0062,0.0094,0.0208,0.007,-0.0069,0.0106,0.0051,-0.0023,-0.0041,-0.0042,0.001,0.0032,-0.64,-0.65,-0.65,0.01,0.01,1.01,1.83,1.18,1.18,1.19
2010-01-07,2300.05,0.074624293,3,-0.007388323,0.002058458,0.013188392,-0.011088002,-0.72040885,4.296940538,7.111090414,7.42275071,2288.507421,2265.019726,2270.616778,2346.221796,4.58,-0.02549773,-0.0017,0.003,0.0064,0.0044,-0.0044,4.59,-0.0209,6.4,0.0024,5.56,5.38,0.0073,0.0042,0.0028,0.0181,0.0021,0.0006,5.34,0.0123,IXIC,5.31,0.0082,0.0007,0.0023,5.32,5.38,0.0017,0.0115,0.0129,-0.0359,-0.0014,-0.0033,0.0001,0.0019,0.016,5.61,-0.0061,-0.0015,0,0.0034,-0.0015,0.003,-0.0045,-0.0022,0.0043,0.0012,0.0076,-0.0027,-0.0288,0.0173,0.0079,0.0024,-0.0046,0.0072,-0.0138,-0.0011,-0.73,-0.76,-0.74,0.03,0.01,1.02,1.82,1.08,1.06,1.09
2010-01-08,2317.17,0.062535479,4,0.002058458,0.013188392,-0.011088002,-0.003815707,1.275355224,4.811380496,6.723010317,8.989440512,2285.942404,2261.332329,2269.415422,2346.685834,4.66,0.036943137,0.0193,0.0174,0.0059,-0.004,0.0201,4.62,-0.0057,6.49,0.0086,5.57,5.37,-0.0004,0.0052,-0.0033,0.0095,0.0115,0.0005,5.34,-0.0043,IXIC,5.33,0.0013,-0.0005,0.0194,5.33,5.47,0.004,-0.0037,0.0084,-0.0042,-0.0036,0.003,-0.0024,0.004,0.0111,5.61,-0.0033,0.0114,-0.0024,0.0061,0.0018,0.0013,-0.0249,-0.004,0.0052,-0.007,0.0203,-0.0024,-0.0047,0.003,-0.0034,0.0195,0.0201,0.0055,-0.0011,0.0182,-0.67,-0.68,-0.67,0.01,0,1.02,1.83,1.16,1.15,1.16
2010-01-11,2312.41,-0.135030253,0,0.013188392,-0.011088002,-0.003815707,0.012565614,-0.344337183,4.931638631,5.586604933,7.51044926,2279.002938,2255.454679,2267.466256,2346.982475,,,-0.0007,0.0026,0.0104,-0.0052,-0.0055,,0.0422,,0.0068,,,0.0156,0.0063,-0.0041,0.0023,0.0149,-0.0014,,0.0078,IXIC,,0.0093,-0.0052,-0.0069,,,0.006,0.0139,0.0018,0.035,0.0019,0.0003,0.0003,0.0059,-0.0109,,0.0051,0.006,0.0004,-0.0023,0.0114,-0.0055,0.0079,0.0002,0.0063,-0.0044,0.0024,-0.0037,0.0434,,0.0085,-0.0067,-0.0056,0.005,0.0057,-0.0003,,,,,,,,,,
2010-01-12,2282.31,0.026936465,1,-0.011088002,-0.003815707,0.012565614,-0.013967419,-0.390180033,2.741502019,4.171782501,6.259224255,2271.579146,2249.459382,2265.631817,2347.329937,4.78,0.006439854,0.0055,0.0156,0.0073,-0.0042,0.0088,4.75,0.0061,6.62,0.0094,5.59,5.43,0.0067,0.0118,-0.0022,0.0159,0.0129,,5.36,0.0247,IXIC,5.32,0.0335,-0.0031,0.0105,5.35,5.6,0.0089,0.033,0.0158,-0.0167,-0.0035,0.0099,-0.0026,0.0087,0.0253,5.63,0.0213,0.0081,-0.0027,0.0154,0.0543,0.0055,-0.0173,-0.0039,0.0118,,0,-0.0024,0.0058,0.0023,0.0148,0.0106,0.0087,0.0168,0.0032,0.0058,-0.54,-0.58,-0.57,0.04,0.03,1.02,1.84,1.27,1.26,1.3
2010-01-13,2307.9,-0.004501587,2,-0.003815707,0.012565614,-0.013967419,0.012722313,1.862559033,5.915557595,8.585086312,5.992899821,2269.194512,2246.001423,2264.951075,2347.983404,4.72,-0.023956357,0.0058,0.0002,-0.0016,-0.009,0.0002,4.68,-0.0203,6.57,0.0001,5.56,5.39,-0.0006,-0.0016,-0.0072,-0.0082,0.0016,,5.34,0.0013,IXIC,5.3,-0.006,-0.0029,-0.0018,5.32,5.56,-0.0007,-0.0029,0.001,-0.0225,-0.0042,0.0085,-0.0044,-0.0003,-0.0012,5.61,-0.0103,0.0014,-0.0044,-0.0031,0.0689,-0.0042,0.0326,-0.0051,-0.0013,,0.0199,-0.0053,-0.0227,-0.0011,0.0072,-0.002,0,-0.0042,0.0104,0.0053,-0.58,-0.62,-0.6,0.04,0.02,1.01,1.85,1.25,1.23,1.27
2010-01-14,2316.74,-0.246050543,3,0.012565614,-0.013967419,0.012722313,0.011276868,5.053757102,7.888327473,8.20224929,6.100671848,2260.593293,2239.485783,2263.198058,2348.386252,4.73,-0.055343939,-0.0092,-0.0058,-0.0036,-0.0004,0,4.72,-0.0562,6.56,0.0018,5.57,5.42,-0.001,0.0077,-0.0035,0.0183,-0.0014,,5.34,0.0178,IXIC,5.29,-0.0108,0.0026,-0.0001,5.33,5.55,0.0038,-0.009,-0.0078,-0.0374,-0.0037,0.0078,-0.0018,0.0038,0.0101,5.61,-0.0088,0.0011,-0.0019,0.0045,0.0044,0.0007,-0.015,-0.0043,0.0081,,-0.0253,-0.0041,-0.0561,-0.0271,0.0073,0.001,-0.0002,0.0142,0.0012,-0.0077,-0.56,-0.61,-0.6,0.05,0.04,1.01,1.83,1.23,1.22,1.27
2010-01-15,2287.99,0.42707807,4,-0.013967419,0.012722313,0.011276868,0.027393223,3.491496291,5.379053058,7.616942217,3.333047299,2248.116247,2231.35376,2261.012672,2348.704305,4.81,0.005066997,-0.0047,-0.03,-0.0031,0.0062,-0.0101,4.8,0.0023,6.63,-0.0123,5.58,5.49,-0.0025,-0.0138,0.0097,-0.0366,-0.0175,,5.35,-0.0261,IXIC,5.28,-0.0021,0.0023,-0.0104,5.34,5.6,-0.013,0.0038,-0.0269,0.0017,0.001,-0.0237,0.0011,-0.0129,-0.0095,5.62,-0.0056,-0.0169,0.0009,-0.0074,0.0384,-0.0055,0.0066,0.0007,-0.0137,,-0.02,0.0029,0.0046,,-0.0078,-0.0106,-0.0102,-0.018,0.0012,-0.0054,-0.47,-0.54,-0.53,0.07,0.06,1.03,1.82,1.29,1.28,1.35
