,count,mean,min,25%,50%,75%,max,std
station_nbr,20517.0,10.54905687966077,1.0,6.0,11.0,16.0,20.0,5.768533053889069
date,20517,2013-06-04 03:44:39.865477,2012-01-01 00:00:00,2012-09-21 00:00:00,2013-06-04 00:00:00,2014-02-17 00:00:00,2014-10-31 00:00:00,
tmax,20517.0,71.5706487303212,-11.0,60.0,75.0,86.0,114.0,19.415409412845886
tmin,20517.0,50.679168494419265,-21.0,37.0,52.0,66.0,88.0,18.719376599545587
tavg,20517.0,61.5559048593849,-16.0,50.0,64.0,77.0,100.0,18.66497342735276
dewpoint,20517.0,47.234098552419944,-24.0,33.0,51.0,64.0,77.0,19.1383387515804
wetbulb,20517.0,54.06750499585709,-15.0,43.0,57.0,68.0,80.0,16.55300352197731
heat,20517.0,9.25876102744066,0.0,0.0,1.0,15.0,81.0,13.464016654688905
cool,20517.0,5.814665886825559,0.0,0.0,0.0,12.0,35.0,7.708633893873827
preciptotal,20517.0,0.09700955305356533,0.0,0.0,0.0,0.01,7.36,0.3369044716713487
snowfall,20517.0,0.02849125115757665,0.0,0.0,0.0,0.0,16.2,0.40273201054568575
stnpressure,20517.0,29.17311644002535,23.72,29.13,29.41,29.75,30.61,1.2196327649912022
sealevel,20517.0,30.009294731198516,29.16,29.9,30.0,30.11,30.8,0.1830320887276831
resultspeed,20517.0,6.517361212652922,0.0,3.3,5.8,9.2,28.4,4.155429591918639
resultdir,20517.0,18.818662572500852,1.0,13.0,18.0,26.0,36.0,9.558794074859943
avgspeed,20517.0,7.983869474094653,0.0,5.2,7.5,9.9,28.7,3.8658891163226943
has_rain,20517.0,0.2595408685480333,0.0,0.0,0.0,1.0,1.0,0.4383934002645143
has_snow,20517.0,0.04912998976458546,0.0,0.0,0.0,0.0,1.0,0.21614465279940084
has_fog,20517.0,0.31525076765609006,0.0,0.0,0.0,1.0,1.0,0.46462699347847225
has_thunder,20517.0,0.09202125067017596,0.0,0.0,0.0,0.0,1.0,0.28906299086764836
has_freezing,20517.0,0.016181702978018228,0.0,0.0,0.0,0.0,1.0,0.12617698458684
weather_event_count,20517.0,0.9253789540381148,0.0,0.0,0.0,2.0,9.0,1.2413230756320945
