feature,importance_mae,importance_mae_std,model_id,model_name,sample_rows,positive_sales_share
rolling_mean_7,6.904106581532059,0.07394374512098968,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
rolling_mean_28,6.107258097304559,0.06088409295017711,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
rolling_mean_90,1.8257874805354024,0.040068000817635674,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
lag_1,1.4411554101559656,0.025159074037329886,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
dayofweek,0.684810591088354,0.04093023364996694,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
item_nbr,0.3787106555599615,0.009717265425492299,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
store_nbr,0.2686907765589259,0.013844759706936155,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
dayofmonth,0.1964744619777609,0.010859795940166107,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
lag_7,0.13194553379687393,0.013329482056824507,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
lag_28,0.12186692170858897,0.005386487442229549,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
weekofyear,0.07359665308978129,0.002248453676901379,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
is_month_start,0.07328703818362096,0.0022909422469994545,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
station_nbr,0.006346990226137568,0.0011246567374194,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
dewpoint,0.003164622936696541,0.00035235672771592345,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
sealevel,0.002414868254250043,0.0017561772651264295,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
tavg,0.0006890731097136301,0.00023582021990461224,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
has_rain,0.0003951286705664951,8.917068594407216e-05,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
tmin,0.00034860010849572615,0.00048397805994324956,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
resultspeed,0.00032191770502709716,0.000664127611810792,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
preciptotal,0.0002554132316712199,0.0009393304739027168,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
tmax,0.000207283389002851,6.246725406932531e-05,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
weather_event_count,0.0001864339552237008,0.0003198450422251699,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
has_fog,0.00018120820625740683,0.0002177810681090191,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
wetbulb,9.533160411064519e-05,0.0003864141770402656,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
cool,8.072736381710872e-05,2.8378553502486607e-05,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
quarter,0.0,0.0,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
year,0.0,0.0,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
is_month_end,0.0,0.0,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
days_since_start,0.0,0.0,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
snowfall,0.0,0.0,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
is_weekend,0.0,0.0,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
has_freezing,-3.093521298976517e-06,1.7309276890095077e-05,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
heat,-1.2290214570794452e-05,1.177030198230419e-05,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
has_thunder,-1.4397903577526941e-05,1.7393104068516297e-05,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
has_snow,-1.7367962206193965e-05,0.00011138697393812564,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
month,-0.00011651378062567848,0.0006667795484812881,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
stnpressure,-0.0001356342165657054,0.0020692381325596873,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
avgspeed,-0.0002959861682795643,0.0009654813529014224,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
resultdir,-0.0024098135886860086,0.0002002511505005191,hist_gradient_boosting,Histogram Gradient Boosting,16000,0.5
