month_period,total_units
2012-01,183746
2012-02,167272
2012-03,166997
2012-04,162541
2012-05,160950
2012-06,173730
2012-07,173226
2012-08,177173
2012-09,165728
2012-10,163237
2012-11,158790
2012-12,173054
2013-01,167990
2013-02,146237
2013-03,151943
2013-04,109091
2013-05,108823
2013-06,107579
2013-07,118019
2013-08,121270
2013-09,107368
2013-10,118169
2013-11,126334
2013-12,132070
2014-01,132311
2014-02,106214
2014-03,117098
2014-04,108815
2014-05,87813
2014-06,93822
2014-07,85881
2014-08,109947
2014-09,85593
2014-10,88166
