column,missing_or_coded_rows,missing_or_coded_share
station_nbr,0,0.0
date,0,0.0
tmax,906,0.04415850270507384
tmin,908,0.04425598284349564
tavg,1469,0.07159916167080957
depart,11511,0.5610469366866501
dewpoint,666,0.032460886094458255
wetbulb,1252,0.06102256665204465
heat,1469,0.07159916167080957
cool,1469,0.07159916167080957
sunrise,9656,0.4706341083004338
sunset,9656,0.4706341083004338
codesum,11051,0.5386265048496369
snowfall,7535,0.3672564215041185
preciptotal,3270,0.15938002631963738
stnpressure,929,0.0452795242969245
sealevel,1724,0.08402787931958863
resultspeed,589,0.028707900765219087
resultdir,589,0.028707900765219087
avgspeed,875,0.042647560559535995
